id,target
649,0.9175937
81136,0.91217214
70762,0.6934824
53935,0.9052936
15476,0.876177
64797,0.91481394
67412,0.76542157
44241,0.6646236
5069,0.91613024
16615,0.917282
84281,0.9155509
82623,0.894226
86475,0.45023558
68263,0.87642765
113135,0.8820401
45532,0.9006917
102161,0.91780144
84789,0.53419137
62398,0.90575427
70148,0.9107569
102487,0.82399493
100513,0.8622622
92702,0.8608437
25051,0.59740186
92920,0.9175419
25520,0.8917442
81869,0.8927776
75402,0.9080737
34053,0.67756027
21191,0.9158597
10864,0.91365755
6349,0.90373343
85213,0.91495895
17255,0.7913959
108351,0.7862666
51437,0.888979
88629,0.79246545
85367,0.91722494
12313,0.88145757
71659,0.90043354
35142,0.9160382
62988,0.91566145
8793,0.8749781
11433,0.9165494
30586,0.9166988
53012,0.9019383
87924,0.91486233
106177,0.90323186
63058,0.8863933
99537,0.89876133
35336,0.82686174
78691,0.86886686
16161,0.90955406
94318,0.90652764
96583,0.9177951
104560,0.8786229
19638,0.9175852
26080,0.898915
113482,0.91638607
82175,0.9117135
1239,0.8847806
32521,0.64649576
68529,0.91780144
38882,0.28877047
8299,0.91101354
98521,0.8989192
47257,0.8701524
42445,0.8979212
104700,0.6752123
109204,0.9126039
20138,0.66768324
28468,0.91563725
94964,0.75069106
59773,0.82518315
17261,0.9135658
9570,0.818025
55159,0.43055463
82480,0.9126064
51225,0.64163154
53176,0.7152634
82883,0.90790594
63590,0.9134968
50906,0.72110283
21635,0.7587072
84000,0.8579415
79029,0.9175852
60256,0.9175538
110660,0.79528934
51023,0.90245056
99146,0.88918436
93878,0.9143224
93845,0.91238964
5364,0.61478394
106612,0.899513
79928,0.9166406
94761,0.89148563
7126,0.9126753
82176,0.89474255
53475,0.5278575
88108,0.91780144
65166,0.9086436
65378,0.87562114
47119,0.8921311
64338,0.9167704
48872,0.8696167
26061,0.91772777
78191,0.9158339
108224,0.91661596
47646,0.77390087
63423,0.91667044
109453,0.88525355
43299,0.91780144
86879,0.88565886
51882,0.91323733
84497,0.37813756
19699,0.8231766
52164,0.89241517
36055,0.8795641
17844,0.91129744
12006,0.90980273
51731,0.9177583
101823,0.8097599
70611,0.90447944
57291,0.47446567
3315,0.8518064
6841,0.8824089
95636,0.6107038
89508,0.91767
78357,0.8955071
30363,0.91723907
65880,0.8941462
79166,0.88884395
16883,0.8444678
19400,0.9169871
97846,0.9107649
35938,0.8868012
109739,0.90708435
7542,0.8490132
62506,0.913218
106686,0.8962531
22500,0.9148433
73566,0.8968537
34462,0.91780144
109,0.9088457
82344,0.91444427
70324,0.9144985
47235,0.91723865
78355,0.90422493
97012,0.8724548
103271,0.91773736
54640,0.911804
18452,0.8678413
80733,0.7643567
22069,0.89134204
63586,0.91540784
63069,0.9119172
66451,0.89993066
5163,0.9177951
6542,0.9171524
79333,0.91434145
8752,0.9167964
37396,0.9170736
27502,0.86186403
65597,0.9090133
50178,0.90793896
51709,0.8268645
32294,0.8978889
76360,0.9154223
51635,0.91780144
103391,0.33553022
59747,0.5404793
21498,0.8981052
18771,0.91205275
34501,0.87039804
77807,0.871847
26350,0.8549208
105355,0.86161095
5469,0.91601473
23826,0.41486403
9399,0.91586757
44862,0.87952316
104114,0.91568446
20407,0.87751496
7541,0.91780144
72892,0.89274186
81994,0.9167704
111007,0.91636044
83350,0.9171174
55682,0.8996682
26680,0.91548246
109949,0.90296596
12482,0.9150918
108210,0.9158975
35717,0.91780144
74030,0.8950906
18407,0.8273582
113337,0.8525956
81673,0.8958175
